Русское название
Английское название
Транскрипция
алмаз	diamond	[ ˈdaɪəmənd ]
алхимия	alchemy	[ ˈælkəmi ]
атом	atom	[ ˈætəm ]
атомная масса	atomic weight	[ əˈtɒmɪk weɪt ]
атомное ядро	atomic nucleus	[ əˈtɒmɪk ˈnjuːklɪəs ]
биологическая молекула	biological molecules	[ ˌbaɪəˈlɒdʒɪkəl ˈmɒlɪkjuːlz ]
биология	biology	[ baɪˈɒlədʒi ]
благородные газы	noble gases	[ ˈnəʊbəl ˈɡæsɪz ]
вещество	matter	[ ˈmætə ]
взаимодействие	interaction	[ ˌɪntəˈrækʃən ]
водород	hydrogen	[ ˈhaɪdrədʒən ]
газообразное состояние	gas state	[ ɡæs steɪt ]
геология	geology	[ dʒɪˈɒlədʒi ]
гранит	granite	[ ˈɡrænɪt ]
жидкое состояние	liquid states	[ ˈlɪkwɪd steɪts ]
изменение вещества	change of matter	[ tʃeɪndʒ əv ˈmætə ]
изотоп	isotope	[ ˈaɪsətəʊp ]
инертный газ	inert gas	[ ɪˈnɜːt ɡæs ]
ион	ions	[ ˈaɪənz ]
ионный	ionic	[ aɪˈɒnɪk ]
квантово-механическая модель	quantum mechanical model	[ ˈkwɒntəm mɪˈkænɪkəl ˈmɒdəl ]
кварц	quartz	[ kwɔːts ]
кислород	oxygen	[ ˈɒksɪdʒən ]
ковалентная связь	covalent bonds	[ ˌkəʊˈveɪlənt bɒndz ]
ковалентный	covalent	[ ˌkəʊˈveɪlənt ]
кристалл	crystal	[ ˈkrɪstəl ]
лабораторная посуда	laboratory glassware	[ ləˈbɒrətr̩i ˈɡlɑːsweə ]
металл	metal	[ ˈmetəl ]
молекула	molecule	[ ˈmɒlɪkjuːl ]
нейтрон	neutron	[ ˈnjuːtrɒn ]
новый эмпирический метод	new empirical methods	[ njuː ɪmˈpɪrɪkəl ˈmeθədz ]
окислительно- восстановительная реакция	oxidation- reduction reaction	[ ˌɒksɪdˈeɪʃən rɪˈdʌkʃən rɪˈækʃən ]
оксид	oxide	[ ˈɒksaɪd ]
органическая химия	organic chemistry	[ ɔːˈɡænɪk ˈkemɪstri ]
переодическая таблица	periodic table	[ ˌpɪərɪˈɒdɪk ˈteɪbəl ]
полимер	polymer	[ ˈpɒlɪmə ]
протон	proton	[ ˈprəʊtɒn ]
радиоактивный распад	radioactive decay	[ ˌreɪdɪəʊˈæktɪv dɪˈkeɪ ]
свойства вещества	properties of matter	[ ˈprɒpətɪz əv ˈmætə ]
синтез	synthesis	[ ˈsɪnθəsɪs ]
состав вещества	composition of matter	[ ˌkɒmpəˈzɪʃən əv ˈmætə ]
сплав	alloy	[ ˈælɔɪ ]
структура	structure	[ ˈstrʌktʃə ]
структура вещества	structure of matter	[ ˈstrʌktʃər əv ˈmætə ]
субстанция, вещество	substance	[ ˈsʌbstəns ]
твердое состояние	solid states	[ ˈsɒlɪd steɪts ]
теория атомов	theory of atoms	[ ˈθɪəri əv ˈætəmz ]
термодинамика	thermodynamics	[ ˌθɜːməʊdaɪˈnæmɪks ]
трансформация	transformation	[ ˌtrænsfəˈmeɪʃən ]
углекислый газ	carbon dioxide	[ ˈkɑːbən daɪˈɒksaɪd ]
углерод	carbon	[ ˈkɑːbən ]
фармацевтический	pharmaceutical	[ ˌfɑːməˈsjuːtɪkəl ]
физическая наука	physical science	[ ˈfɪzɪkəl ˈsaɪəns ]
фотон	photon	[ ˈfəʊtɒn ]
фотохимическая реакция	photochemical reaction	[ ˌfəʊtəʊˈkemɪkəl rɪˈækʃən ]
химическая лаборатория	chemistry laboratory	[ ˈkemɪstri ləˈbɒrətr̩i ]
химическая номенклатура	chemical nomenclature	[ ˈkemɪkəl nəˈmenklətʃə ]
химическая реакция	chemical reaction	[ ˈkemɪkəl rɪˈækʃən ]
химическая связь	chemical bond	[ ˈkemɪkəl bɒnd ]
химический анализ	chemical analysis	[ ˈkemɪkəl əˈnæləsɪs ]
химический состав	chemical compositions	[ ˈkemɪkəl ˌkɒmpəˈzɪʃənz ]
химическое соединение	chemical compound	[ ˈkemɪkəl kəmˈpaʊnd ]
химия	chemistry	[ ˈkemɪstri ]
щелочные металлы	alkali metals	[ ˈælkəlaɪ ˈmetəlz ]
электрический ток	electric current	[ ɪˈlektrɪk ˈkʌrənt ]
электрон	electron	[ ɪˈlektrɒn ]
электронное облако	electron cloud	[ ɪˈlektrɒn klaʊd ]
электрохимическая теория	electrochemical theory	[ əˌlektroˈkemɪkəl ˈθɪəri ]
элементарная частица	elementary particle	[ ˌelɪˈmentəri ˈpɑːtɪkəl ]
энергия	energy	[ ˈenədʒi ]
ядерная реакция	nuclear reaction	[ ˈnjuːklɪə rɪˈækʃən ]
